mdb_source_id,data_type,entity_type,location.country_code,location.country_name,location.subdivision_name,location.municipality,provider,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment,region_and_agency,location_and_agency,location&agency_tally
709,gtfs,NA,CA,Canada,British Columbia,Fort St. John,BC Transit (Fort St John Transit System),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/fort-st-john.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-fort-st-john-transit-system-gtfs-709.zip?alt=media,NA,56.231758,56.26674,-120.873862,-120.803019,2022-03-16T22:05:16Z,NA,NA,NA,NA,British Columbia>BC Transit (Fort St John Transit System),Canada>British Columbia>BC Transit (Fort St John Transit System),1
1991,gtfs,NA,CA,Canada,British Columbia,Abbotsford,BC Transit (Fraser Valley Region),NA,NA,NA,NA,https://bct.tmix.se/Tmix.Cap.TdExport.WebApi/gtfs/?operatorIds=13,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-fraser-valley-region-gtfs-1991.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.00422,49.38268,-122.89531,-121.42033,2024-02-22T03:58:41Z,NA,NA,NA,NA,British Columbia>BC Transit (Fraser Valley Region),Canada>British Columbia>BC Transit (Fraser Valley Region),1
707,gtfs,NA,CA,Canada,British Columbia,Kamloops,BC Transit (Kamloops Transit System),NA,NA,NA,NA,http://kamloops.mapstrat.com/current/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-kamloops-transit-system-gtfs-707.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,50.634135,50.860312,-120.42291,-120.078766,2022-03-16T22:05:14Z,NA,NA,NA,NA,British Columbia>BC Transit (Kamloops Transit System),Canada>British Columbia>BC Transit (Kamloops Transit System),1
704,gtfs,NA,CA,Canada,British Columbia,Kelowna,BC Transit (Kelowna Regional Transit System),NA,NA,NA,NA,http://kelowna.mapstrat.com/current/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-kelowna-regional-transit-system-gtfs-704.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.751924,50.073517,-119.790038,-119.347167,2022-03-16T22:05:10Z,NA,NA,NA,NA,British Columbia>BC Transit (Kelowna Regional Transit System),Canada>British Columbia>BC Transit (Kelowna Regional Transit System),1
688,gtfs,NA,CA,Canada,British Columbia,Powell River,BC Transit (Powell River Regional Transit System),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/powell-river.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-powell-river-regional-transit-system-gtfs-688.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.653951,49.981554,-124.760471,-124.178869,2022-03-16T22:04:01Z,NA,NA,NA,NA,British Columbia>BC Transit (Powell River Regional Transit System),Canada>British Columbia>BC Transit (Powell River Regional Transit System),1
701,gtfs,NA,CA,Canada,British Columbia,Squamish,BC Transit (Squamish),NA,NA,NA,NA,http://squamish.mapstrat.com/current/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-squamish-gtfs-701.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.696302,49.774333,-123.157502,-123.099042,2022-03-16T22:05:03Z,NA,NA,NA,NA,British Columbia>BC Transit (Squamish),Canada>British Columbia>BC Transit (Squamish),1
700,gtfs,NA,CA,Canada,British Columbia,NA,BC Transit (Sunshine Coast Transit System),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/sunshine-coast.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-sunshine-coast-transit-system-gtfs-700.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.391845000000004,49.51393,-123.91146,-123.47472,2022-03-16T22:05:02Z,NA,NA,NA,NA,British Columbia>BC Transit (Sunshine Coast Transit System),Canada>British Columbia>BC Transit (Sunshine Coast Transit System),1
703,gtfs,NA,CA,Canada,British Columbia,Kelowna,BC Transit (Vernon Regional Transit System),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/vernon.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-vernon-regional-transit-system-gtfs-703.zip?alt=media,NA,49.939561,50.551067,-119.406769,-118.962945,2022-03-16T22:05:06Z,NA,NA,NA,NA,British Columbia>BC Transit (Vernon Regional Transit System),Canada>British Columbia>BC Transit (Vernon Regional Transit System),1
695,gtfs,NA,CA,Canada,British Columbia,Victoria,BC Transit (Victoria Regional Transit System),NA,NA,NA,NA,http://victoria.mapstrat.com/current/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-victoria-regional-transit-system-gtfs-695.zip?alt=media,NA,48.33716,48.697757,-123.795435,-123.275822,2022-03-16T22:04:36Z,NA,NA,NA,NA,British Columbia>BC Transit (Victoria Regional Transit System),Canada>British Columbia>BC Transit (Victoria Regional Transit System),1
705,gtfs,NA,CA,Canada,British Columbia,Nelson,BC Transit (West Kootenay Transit System),NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/west-kootenay.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-west-kootenay-transit-system-gtfs-705.zip?alt=media,NA,49.071572,50.296696,-118.140813,-116.896812,2022-03-16T22:05:12Z,NA,NA,NA,NA,British Columbia>BC Transit (West Kootenay Transit System),Canada>British Columbia>BC Transit (West Kootenay Transit System),1
702,gtfs,NA,CA,Canada,British Columbia,Whistler,BC Transit (Whistler Transit System),NA,NA,NA,NA,http://whistler.mapstrat.com/current/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-whistler-transit-system-gtfs-702.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,50.077122,50.159071,-123.043635,-122.926836,2022-03-16T22:05:05Z,NA,NA,NA,NA,British Columbia>BC Transit (Whistler Transit System),Canada>British Columbia>BC Transit (Whistler Transit System),1
692,gtfs,NA,CA,Canada,British Columbia,Nanaimo,BC Transit - Regional District of Nanaimo (RDN) Transit System,NA,NA,NA,NA,http://nanaimo.mapstrat.com/current/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-bc-transit-regional-district-of-nanaimo-rdn-transit-system-gtfs-692.zip?alt=media,NA,48.774918,49.464455,-124.72594,-123.701411,2022-03-16T22:04:12Z,NA,NA,NA,NA,British Columbia>BC Transit - Regional District of Nanaimo (RDN) Transit System,Canada>British Columbia>BC Transit - Regional District of Nanaimo (RDN) Transit System,1
698,gtfs,NA,CA,Canada,British Columbia,Fraser Valley,Fraser Valley Express,NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/fraser-valley-express.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-fraser-valley-express-gtfs-698.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.03258,49.247973,-122.895491,-121.955443,2022-03-16T22:05:00Z,deprecated,NA,1991,NA,British Columbia>Fraser Valley Express,Canada>British Columbia>Fraser Valley Express,1
761,gtfs,NA,CA,Canada,British Columbia,Port Alberni,Port Alberni,NA,NA,NA,NA,https://bct.tmix.se/Tmix.Cap.TdExport.WebApi/gtfs/?operatorIds=11,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-port-alberni-gtfs-761.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.21847,49.27743,-124.85047,-124.78265,2022-03-17T13:16:35Z,NA,NA,NA,NA,British Columbia>Port Alberni,Canada>British Columbia>Port Alberni,1
708,gtfs,NA,CA,Canada,British Columbia,Prince George,Prince George Transit,NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/prince-george.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-prince-george-transit-gtfs-708.zip?alt=media,NA,53.830781,54.010517,-122.830644,-122.737908,2022-03-16T22:05:15Z,NA,NA,NA,NA,British Columbia>Prince George Transit,Canada>British Columbia>Prince George Transit,1
1871,gtfs,NA,CA,Canada,British Columbia,NA,Rider Express,NA,NA,gtfs@ticpoi.com,NA,https://riderexpress.ticpoi.com/public/routes/gtfs,0,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-rider-express-gtfs-1871.zip?alt=media,NA,43.64577,56.685434,-123.09786183458225,-75.63804,2023-02-15T15:16:14Z,NA,flex-v1,NA,NA,British Columbia>Rider Express,Canada>British Columbia>Rider Express,1
762,gtfs,NA,CA,Canada,British Columbia,NA,South Okanagan-Similkameen,NA,NA,NA,NA,https://www.bctransit.com/data/gtfs/south-okanagan-similkameen.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-south-okanagan-similkameen-gtfs-762.zip?alt=media,https://www.bctransit.com/open-data/terms-of-use,49.453034,49.887128,-119.735228,-119.494941,2022-03-17T13:16:35Z,NA,NA,NA,NA,British Columbia>South Okanagan-Similkameen,Canada>British Columbia>South Okanagan-Similkameen,1
1222,gtfs,NA,CA,Canada,British Columbia,Vancouver,TransLink Vancouver,NA,NA,NA,NA,https://transitfeeds.com/p/translink-vancouver/29/latest/download,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-translink-vancouver-gtfs-1222.zip?alt=media,https://developer.translink.ca/ServicesGtfs/GtfsData,49.004383,49.474111,-123.423063,-122.30486,2022-03-23T23:11:55Z,NA,NA,NA,NA,British Columbia>TransLink Vancouver,Canada>British Columbia>TransLink Vancouver,1
696,gtfs,NA,CA,Canada,British Columbia,Vancouver,TransLink West Coast Express,NA,NA,NA,NA,http://gtfs.translink.ca/static/latest,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-british-columbia-translink-west-coast-express-gtfs-696.zip?alt=media,https://developer.translink.ca/ServicesGtfs/GtfsData,49.004383,49.474111,-123.423063,-122.30486,2022-03-16T22:04:57Z,NA,NA,NA,NA,British Columbia>TransLink West Coast Express,Canada>British Columbia>TransLink West Coast Express,1
717,gtfs,NA,CA,Canada,Manitoba,Winnipeg,Winnipeg Transit,NA,NA,311@winnipeg.ca,NA,http://gtfs.winnipegtransit.com/google_transit.zip,0,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-manitoba-winnipeg-transit-gtfs-717.zip?alt=media,NA,49.763940715545736,49.96947367856984,-97.32299682965768,-96.96269333563112,2022-03-16T22:06:27Z,NA,NA,NA,NA,Manitoba>Winnipeg Transit,Canada>Manitoba>Winnipeg Transit,1
735,gtfs,NA,CA,Canada,NA,NA,VIA Rail Canada,NA,NA,NA,NA,https://www.viarail.ca/sites/all/files/gtfs/viarail.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-unknown-via-rail-canada-gtfs-735.zip?alt=media,NA,40.7502300443,58.767685933,-130.352241212,-63.2759008362,2022-03-17T13:15:26Z,NA,NA,NA,NA,NA>VIA Rail Canada,Canada>NA>VIA Rail Canada,1
1111,gtfs,NA,CA,Canada,New Brunswick,Moncton,Codiac Transport,NA,NA,NA,NA,https://www7.moncton.ca/opendata/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-new-brunswick-codiac-transport-gtfs-1111.zip?alt=media,https://catalogue-moncton.opendata.arcgis.com/datasets/transit-files-gtfs,46.0419242705062,46.165235,-64.8910137946018,-64.6976506529838,2022-03-22T14:56:02Z,NA,NA,NA,NA,New Brunswick>Codiac Transport,Canada>New Brunswick>Codiac Transport,1
764,gtfs,NA,CA,Canada,New Brunswick,Fredericton,Fredericton Transit,NA,NA,NA,NA,https://www.arcgis.com/sharing/rest/content/items/36704575683245329a1b208bcbc72e72/data,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-new-brunswick-fredericton-transit-gtfs-764.zip?alt=media,NA,45.90273428,46.01368444,-66.76942465,-66.57699011,2022-03-17T13:16:39Z,NA,NA,NA,NA,New Brunswick>Fredericton Transit,Canada>New Brunswick>Fredericton Transit,1
1806,gtfs,NA,CA,Canada,New Brunswick,Miramichi,Miramichi Transit,NA,NA,NA,NA,http://miramichitransit.ca/GTFS/MT_GTFS_2019.01.29.b.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-new-brunswick-miramichi-transit-gtfs-1806.zip?alt=media,NA,46.991774,47.046645,-65.588079,-65.437941,2022-07-28T13:32:34Z,NA,NA,NA,NA,New Brunswick>Miramichi Transit,Canada>New Brunswick>Miramichi Transit,1
1223,gtfs,NA,CA,Canada,New Brunswick,Saint John,Saint John Transit,NA,NA,csjtransit@gmail.com,NA,https://transitfeeds.com/p/saint-john-transit/1224/latest/download,0,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-new-brunswick-saint-john-transit-gtfs-1223.zip?alt=media,https://catalogue-saintjohn.opendata.arcgis.com/datasets/d6f4783521364429a2e51a64c60ae234/about,NA,NA,NA,NA,2022-03-23T23:11:58Z,NA,NA,NA,NA,New Brunswick>Saint John Transit,Canada>New Brunswick>Saint John Transit,1
758,gtfs,NA,CA,Canada,Newfoundland,St. John's,Metrobus Transit,NA,NA,NA,NA,http://www.metrobustransit.ca/google/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-newfoundland-metrobus-transit-gtfs-758.zip?alt=media,NA,47.436518,47.619686,-52.872601,-52.67875,2022-03-17T13:16:28Z,NA,NA,NA,NA,Newfoundland>Metrobus Transit,Canada>Newfoundland>Metrobus Transit,1
734,gtfs,NA,CA,Canada,Nova Scotia,Halifax,Halifax Transit,NA,NA,NA,NA,http://gtfs.halifax.ca/static/google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-nova-scotia-halifax-transit-gtfs-734.zip?alt=media,http://www.halifax.ca/opendata/OD_TermsOfUse.php,44.565098,44.886253,-63.858243,-63.28321,2022-03-17T13:15:24Z,NA,NA,NA,NA,Nova Scotia>Halifax Transit,Canada>Nova Scotia>Halifax Transit,1
3,gtfs,NA,CA,Canada,Ontario,Barrie,Barrie Transit,NA,NA,NA,NA,http://www.myridebarrie.ca/gtfs/Google_transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-barrie-transit-gtfs-3.zip?alt=media,https://www.barrie.ca/services-payments/transportation-parking/barrie-transit/barrie-gtfs,44.3218044,44.42020676,-79.74063237,-79.61089569,2022-03-01T22:43:25Z,NA,NA,NA,NA,Ontario>Barrie Transit,Canada>Ontario>Barrie Transit,1
1858,gtfs,NA,CA,Canada,Ontario,Belleville,Belleville Transit,NA,NA,NA,NA,https://metrolinx.tmix.se/gtfs/gtfs-belleville.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-belleville-transit-gtfs-1858.zip?alt=media,NA,44.14053314,44.211434,-77.43741,-77.34044,2023-01-17T20:06:35Z,NA,NA,NA,NA,Ontario>Belleville Transit,Canada>Ontario>Belleville Transit,1
729,gtfs,NA,CA,Canada,Ontario,Brampton,Brampton Transit,NA,NA,NA,NA,http://www.brampton.ca/EN/City-Hall/OpenGov/Open-Data-Catalogue/Documents/Google_Transit.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-brampton-transit-gtfs-729.zip?alt=media,NA,43.547852,43.819111,-79.861496,-79.527649,2022-03-16T22:07:33Z,deprecated,NA,1994,NA,Ontario>Brampton Transit,Canada>Ontario>Brampton Transit,2
1994,gtfs,NA,CA,Canada,Ontario,Brampton,Brampton Transit,NA,NA,NA,NA,https://www.arcgis.com/sharing/rest/content/items/a355aabd5a8c490186bdce559c9c75fb/data,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-brampton-transit-gtfs-1994.zip?alt=media,https://brampton.maps.arcgis.com/home/item.html?id=a355aabd5a8c490186bdce559c9c75fb,43.54785,43.819109,-79.861498,-79.496923,2024-02-22T03:58:57Z,NA,NA,NA,NA,Ontario>Brampton Transit,Canada>Ontario>Brampton Transit,2
724,gtfs,NA,CA,Canada,Ontario,Burlington,Burlington Transit,NA,NA,NA,NA,https://opendata.burlington.ca/gtfs-rt/GTFS_Data.zip,NA,NA,NA,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-burlington-transit-gtfs-724.zip?alt=media,https://cob.burlington.opendata.arcgis.com/,43.256679,43.411717,-79.892603,-79.725184,2022-03-16T22:06:59Z,NA,NA,NA,NA,Ontario>Burlington Transit,Canada>Ontario>Burlington Transit,1
